,genre,topic_num,topic_proportion,term1,term2,term3,term4,term5,term6,term7,term8,term9,term10,term_str,rep_summary,rep_url,img
1,Action,Topic 16,59.20%,action,fight,love,mafia,gang,streetfight,gun,fighter,reveng,assassin,"action, fight, love, mafia, gang, streetfight, gun, fighter, reveng, assassin",When bestselling romance novelist Piper Evans comes home one night she doesn't expect to find a man there waiting for her. She doesn't expect him to try to kill her either.,https://www.wattpad.com/story/54585695-black-tie-affairs,topic16.png
2,Action,Topic 40,6.40%,fantasi,magic,romanc,action,adventur,dragon,demon,supernatur,watti,angel,"fantasi, magic, romanc, action, adventur, dragon, demon, supernatur, watti, angel",There are plenty of thieves in the world - thieves of jewels thieves of the heart and thieves of innocence. But Evelin Jiyu a young girl in the war-torn village of Muoro is a thief of the greatest prize of all: free will. The Makers are the gods worshipped by the villagers and anyone who denies their teachings is executed. From a young age all villagers join a caste based on the amount of free will the Makers have given them and this caste will lead to a career that is their one true path in life. But even the most carefully orchestrated heist can be unraveled by one mistake - and the Makers' biggest mistake is Evelin. A glitch in the system Evelin got away with free will; she has never really fit into a caste and has never been so smitten with the Makers. To admit this would be to place her own head on a chopping block. Instead she hides in the lowest caste of all and keeps her free will a secret. At her graduation ceremony her lies will be revealed. Only a graduate from the highest caste will be chosen to lead a war against the neighboring village Faero. But when fate chooses her as the Seeker the questions begin and Evelin fears for her life. Abandoning her home and family in the midst of a war to save her own head Evelin flees from the Makers' retribution. She runs to the one place where the Makers cannot reach her and where all of their secrets might be revealed: the Edge of the world. *The Edge of the World is a Wattpad Featured Story *The amazing cover was made by @Ferret-bird,https://www.wattpad.com/story/19081483-the-edge-of-the-world,topic40.png
3,Action,Topic 2,6.20%,scienc,fiction,power,superhero,adventur,watti,super,dystopia,hero,superpow,"scienc, fiction, power, superhero, adventur, watti, super, dystopia, hero, superpow",UNDER EDITING :D (Book One of The Visions Trilogy) Jacelyn isn't your average teenage girl. She has powers. And sure everything seems normal except for eerie visions that are haunting almost every second of her life. But even with her amazing abilities how will she stop the coming of something that she doesn't even fully understand? These visions are only the beginning as she discovers secrets that were never meant to resurface. How will she save her city from drowning in the blood of scorching fire? All Rights Reserved,https://www.wattpad.com/story/3650641-shadow-book-one-of-the-visions-trilogy,topic2.png
4,Action,Topic 15,3.80%,famili,marriag,enemi,secret,arrang,drama,fight,love,engag,yourstoryindia,"famili, marriag, enemi, secret, arrang, drama, fight, love, engag, yourstoryindia",Lyric and Blaze. Their parents own a big Corporation together. Their parents are also making them get married. Fun right? Try telling that to them. Especially with all the craziness and drama they have to get through together. This story has been revised as of 2014. WARNING: If you aren't a fan of A LOT of drama this is not the story for you. If you love drama well enjoy :),https://www.wattpad.com/story/31884-the-family-business-an-arranged-marriage,topic15.png
5,Action,Topic 13,2.50%,boss,death,date,secret,paranorm,newyorkc,babi,cat,finn,girlxgirl,"boss, death, date, secret, paranorm, newyorkc, babi, cat, finn, girlxgirl",Lacey Hannigan was never your average girl. Why? Because she can see ghosts. In a new town she feels like she can finally move on with her life and feels like she has a better grip on herself than ever. Until Finn McDermott enters the ghost of a hot arrogant quarterback that disappeared nine months ago. And Lacey doesn't know what's scarier to her. The fact that everything she thought she knew was all a lie. Or the fact that Finn one by one is slowly undoing all of the hard work Lacey put up to protect herself and her gift. And that she doesn't mind. Join Lacey and Finn as they work together to uncover Finn's murder and bring justice to his death finally freeing him from this world and allowing him to move on. But when the time comes will she be able to let him go? Cover: CityPerson Trailer: novemberdreamer,https://www.wattpad.com/story/9167545-till-death-do-us-part-completed,topic13.png
6,Action,other,22.00%,,,,,,,,,,,,,,other.png
7,Adventure,Topic 32,39.60%,adventur,romanc,action,humor,music,highschool,matchmak,pirat,band,witch,"adventur, romanc, action, humor, music, highschool, matchmak, pirat, band, witch",STOP Lost boys are not meant to be found.,https://www.wattpad.com/story/29535274-unraveling-will,topic32.png
8,Adventure,Topic 2,12.50%,scienc,fiction,power,superhero,adventur,watti,super,dystopia,hero,superpow,"scienc, fiction, power, superhero, adventur, watti, super, dystopia, hero, superpow",UNDER EDITING :D (Book One of The Visions Trilogy) Jacelyn isn't your average teenage girl. She has powers. And sure everything seems normal except for eerie visions that are haunting almost every second of her life. But even with her amazing abilities how will she stop the coming of something that she doesn't even fully understand? These visions are only the beginning as she discovers secrets that were never meant to resurface. How will she save her city from drowning in the blood of scorching fire? All Rights Reserved,https://www.wattpad.com/story/3650641-shadow-book-one-of-the-visions-trilogy,topic2.png
9,Adventure,Topic 40,10.80%,fantasi,magic,romanc,action,adventur,dragon,demon,supernatur,watti,angel,"fantasi, magic, romanc, action, adventur, dragon, demon, supernatur, watti, angel",There are plenty of thieves in the world - thieves of jewels thieves of the heart and thieves of innocence. But Evelin Jiyu a young girl in the war-torn village of Muoro is a thief of the greatest prize of all: free will. The Makers are the gods worshipped by the villagers and anyone who denies their teachings is executed. From a young age all villagers join a caste based on the amount of free will the Makers have given them and this caste will lead to a career that is their one true path in life. But even the most carefully orchestrated heist can be unraveled by one mistake - and the Makers' biggest mistake is Evelin. A glitch in the system Evelin got away with free will; she has never really fit into a caste and has never been so smitten with the Makers. To admit this would be to place her own head on a chopping block. Instead she hides in the lowest caste of all and keeps her free will a secret. At her graduation ceremony her lies will be revealed. Only a graduate from the highest caste will be chosen to lead a war against the neighboring village Faero. But when fate chooses her as the Seeker the questions begin and Evelin fears for her life. Abandoning her home and family in the midst of a war to save her own head Evelin flees from the Makers' retribution. She runs to the one place where the Makers cannot reach her and where all of their secrets might be revealed: the Edge of the world. *The Edge of the World is a Wattpad Featured Story *The amazing cover was made by @Ferret-bird,https://www.wattpad.com/story/19081483-the-edge-of-the-world,topic40.png
10,Adventure,Topic 6,9.40%,watti,friendship,wattpadpr,love,hors,ride,awkward,drama,blind,grief,"watti, friendship, wattpadpr, love, hors, ride, awkward, drama, blind, grief",Thirteen year old Allegra Mason is given the opportunity of a lifetime when she is handed the cheeky but extremely talented rising three year old colt Arrow to train and care for as part of the famous 'Colt Challenge' at Shadow Hill Stables. But Ally is younger and less experienced than most of the other participants and battling with her crazy foal school friendship issues and her hated rival Cassidy French it's hard to get anywhere. But with the help of new-found friend and incredible rider Lacey Johnson she hasn't lost all hope. Wattys2014,https://www.wattpad.com/story/12007722-the-colt-challenge-a-horse-story,topic6.png
